Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,class_name
F,medium,medium,high,heavy,medium,medium,heavy,old_age
F,medium,medium,high,heavy,medium,medium,heavy,old_age
F,large,large,high,medium,medium,medium,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,medium,high,heavy,medium,medium,heavy,old_age
M,medium,medium,high,medium,medium,medium,medium,old_age
M,medium,medium,high,medium,medium,medium,heavy,old_age
M,medium,medium,medium,medium,light,light,heavy,young
I,small,small,small,light,light,light,light,young
M,small,small,small,light,light,light,light,medium_age
F,medium,medium,medium,medium,medium,medium,medium,medium_age
M,medium,medium,medium,medium,light,medium,medium,old_age
M,small,small,medium,light,light,medium,medium,old_age
F,medium,small,medium,medium,medium,light,medium,medium_age
M,medium,large,high,medium,medium,medium,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
F,medium,large,high,heavy,medium,heavy,heavy,old_age
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,old_age
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,old_age
I,small,small,small,light,light,light,light,medium_age
I,small,small,small,light,light,light,light,young
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,medium,heavy,heavy,old_age
M,medium,medium,high,medium,medium,medium,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
M,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
F,small,small,small,light,light,light,light,young
M,small,small,small,light,light,light,light,young
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,medium,large,high,heavy,medium,medium,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
M,medium,large,high,heavy,medium,heavy,heavy,old_age
F,large,large,high,heavy,heavy,medium,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
F,small,small,small,light,light,light,light,young
F,small,small,medium,medium,light,medium,medium,medium_age
I,small,small,small,light,light,light,light,young
F,medium,medium,medium,medium,medium,medium,medium,old_age
M,medium,medium,medium,medium,medium,medium,medium,old_age
F,medium,small,medium,medium,medium,light,medium,old_age
F,medium,medium,medium,medium,medium,medium,medium,young
M,medium,large,high,heavy,medium,medium,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,medium,medium,high,medium,medium,medium,heavy,old_age
F,medium,medium,medium,medium,medium,medium,medium,medium_age
M,medium,large,medium,medium,medium,medium,medium,old_age
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
F,medium,medium,high,medium,medium,medium,medium,old_age
M,small,small,small,light,light,light,light,young
M,medium,medium,high,medium,medium,medium,medium,old_age
F,medium,medium,high,medium,medium,medium,medium,medium_age
F,medium,medium,high,medium,medium,medium,heavy,medium_age
M,large,large,high,heavy,medium,heavy,heavy,old_age
F,medium,medium,high,medium,medium,medium,heavy,old_age
M,large,large,high,heavy,medium,heavy,heavy,old_age
F,medium,medium,high,heavy,medium,heavy,heavy,old_age
M,medium,large,high,heavy,medium,heavy,heavy,old_age
I,small,small,small,light,light,light,light,young
F,small,small,small,light,light,light,light,young
M,small,small,medium,light,light,light,light,old_age
F,small,small,small,light,light,light,light,old_age
F,small,medium,medium,light,light,light,medium,young
M,small,small,medium,light,light,light,medium,medium_age
I,small,small,small,light,light,light,light,old_age
M,small,small,medium,light,light,light,medium,medium_age
F,small,small,small,light,light,light,light,medium_age
F,small,small,small,light,light,medium,light,medium_age
M,small,small,small,light,light,light,light,young
F,medium,medium,high,medium,medium,heavy,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
F,medium,medium,high,heavy,medium,medium,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
M,medium,medium,medium,medium,light,medium,medium,old_age
M,medium,medium,medium,medium,medium,medium,medium,young
M,medium,medium,high,medium,medium,medium,medium,old_age
M,small,small,small,light,light,light,light,young
F,medium,large,high,heavy,heavy,heavy,heavy,old_age
M,medium,medium,high,medium,medium,medium,heavy,medium_age
M,medium,medium,high,medium,medium,medium,medium,old_age
F,medium,medium,high,medium,medium,medium,heavy,old_age
F,large,large,medium,heavy,heavy,heavy,heavy,old_age
I,medium,medium,high,medium,medium,medium,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,medium,medium,heavy,old_age
F,medium,medium,high,medium,medium,medium,heavy,old_age
M,medium,medium,high,medium,medium,medium,medium,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,medium,medium,high,medium,medium,medium,medium,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,medium,heavy,heavy,heavy,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
M,large,large,high,heavy,heavy,medium,heavy,old_age
F,large,large,high,heavy,medium,heavy,heavy,old_age
F,large,large,high,heavy,medium,heavy,heavy,old_age
M,medium,medium,medium,medium,medium,medium,medium,medium_age
M,medium,medium,medium,medium,medium,medium,medium,medium_age
M,small,small,medium,light,light,light,light,medium_age
I,medium,medium,medium,medium,medium,medium,medium,young
F,medium,medium,medium,medium,medium,medium,medium,medium_age
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,medium_age
I,small,small,small,light,light,light,light,medium_age
F,medium,medium,medium,medium,medium,medium,medium,medium_age
F,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
F,medium,large,medium,medium,medium,heavy,medium,medium_age
I,small,small,small,light,light,light,light,young
M,small,small,small,medium,medium,medium,medium,medium_age
F,small,small,small,light,light,light,light,medium_age
I,small,small,small,light,light,light,light,young
M,medium,medium,small,medium,medium,medium,medium,old_age
F,medium,medium,medium,medium,medium,medium,medium,medium_age
F,medium,medium,medium,medium,medium,medium,medium,old_age
M,small,small,small,medium,medium,medium,medium,young
I,small,small,small,light,light,light,light,young
I,medium,medium,medium,medium,medium,medium,medium,young
F,small,medium,medium,medium,medium,medium,medium,medium_age
F,medium,medium,medium,medium,medium,medium,medium,medium_age
M,small,small,medium,medium,medium,light,medium,medium_age
F,medium,medium,small,medium,medium,heavy,medium,old_age
M,medium,large,medium,medium,medium,heavy,medium,old_age
F,medium,medium,medium,medium,medium,medium,medium,old_age
F,large,large,high,heavy,heavy,medium,heavy,old_age
F,small,small,medium,medium,light,medium,medium,old_age
M,small,small,medium,light,light,medium,medium,old_age
M,small,small,medium,medium,light,medium,medium,old_age
F,small,small,small,light,light,light,light,old_age
M,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
M,large,large,medium,medium,medium,medium,heavy,old_age
F,medium,large,medium,medium,medium,medium,medium,old_age
M,medium,medium,medium,medium,medium,medium,medium,old_age
M,medium,medium,medium,medium,medium,medium,medium,old_age
M,medium,medium,medium,medium,medium,medium,medium,old_age
F,medium,medium,medium,medium,medium,light,medium,old_age
F,medium,medium,medium,medium,medium,medium,medium,old_age
I,small,small,small,light,light,light,light,medium_age
M,medium,medium,medium,light,light,light,medium,old_age
M,medium,medium,medium,medium,medium,medium,medium,old_age
I,small,small,small,light,light,light,light,young
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,small,small,small,light,light,light,light,medium_age
M,small,small,small,light,light,light,light,old_age
M,small,medium,medium,medium,medium,medium,medium,old_age
F,medium,medium,medium,medium,medium,medium,medium,old_age
I,small,medium,medium,medium,light,medium,medium,old_age
I,small,small,small,light,light,light,light,medium_age
M,medium,medium,medium,medium,medium,medium,heavy,old_age
F,medium,medium,medium,medium,medium,medium,medium,medium_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
M,large,large,medium,heavy,medium,medium,heavy,old_age
F,medium,large,high,medium,medium,medium,medium,old_age
M,medium,medium,high,medium,medium,medium,medium,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
F,medium,large,high,medium,medium,medium,medium,old_age
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
M,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,medium,medium,medium,medium,medium,medium,medium,old_age
M,medium,medium,medium,medium,medium,medium,medium,old_age
M,medium,medium,high,medium,medium,medium,medium,old_age
F,small,small,small,light,light,light,light,medium_age
F,medium,medium,high,medium,medium,light,medium,old_age
M,medium,large,high,medium,medium,medium,medium,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
M,large,large,medium,heavy,heavy,heavy,heavy,old_age
M,medium,medium,medium,medium,medium,medium,medium,old_age
M,medium,large,medium,heavy,heavy,medium,heavy,old_age
M,medium,medium,medium,medium,medium,medium,medium,old_age
F,large,large,high,heavy,heavy,medium,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,medium,medium,high,medium,medium,medium,medium,old_age
M,medium,medium,medium,medium,medium,medium,medium,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
M,medium,large,high,medium,heavy,medium,heavy,old_age
F,large,large,high,heavy,medium,medium,medium,old_age
F,large,large,high,heavy,heavy,medium,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
I,medium,medium,high,medium,medium,medium,heavy,old_age
I,small,small,small,light,light,light,light,young
M,small,small,small,light,light,light,light,young
F,small,small,small,light,light,light,light,old_age
F,medium,medium,medium,medium,medium,medium,medium,old_age
I,small,small,small,light,light,light,light,old_age
M,small,small,small,light,light,light,light,medium_age
F,small,small,small,light,light,light,light,young
I,medium,medium,medium,medium,medium,medium,medium,old_age
I,small,small,small,light,light,light,light,old_age
F,small,small,small,light,light,light,light,medium_age
M,small,small,small,light,light,light,light,young
M,small,small,small,light,light,light,light,young
I,medium,medium,medium,medium,medium,medium,medium,old_age
F,medium,medium,medium,medium,light,medium,medium,old_age
F,small,small,small,light,light,light,light,old_age
F,small,small,small,light,light,light,light,old_age
F,medium,small,medium,medium,medium,medium,medium,old_age
I,small,small,medium,medium,light,medium,light,old_age
I,medium,small,medium,medium,medium,medium,medium,medium_age
M,small,small,medium,light,light,light,light,old_age
F,small,small,medium,light,light,light,light,old_age
M,small,small,small,light,light,light,light,medium_age
M,small,small,small,light,light,light,light,medium_age
I,small,small,small,light,light,light,light,young
I,large,medium,high,heavy,heavy,heavy,heavy,old_age
I,large,large,high,heavy,medium,heavy,heavy,old_age
I,large,large,medium,medium,medium,medium,heavy,old_age
I,large,large,high,heavy,heavy,heavy,heavy,old_age
I,medium,medium,medium,medium,medium,medium,medium,old_age
F,medium,medium,high,medium,medium,medium,medium,old_age
I,small,small,small,light,light,light,medium,old_age
F,medium,medium,medium,medium,medium,medium,medium,old_age
I,small,small,high,light,light,light,light,old_age
M,small,small,small,light,light,light,light,medium_age
I,medium,medium,high,medium,medium,medium,heavy,old_age
I,large,large,medium,heavy,heavy,heavy,heavy,old_age
F,medium,medium,high,medium,medium,medium,heavy,medium_age
I,large,medium,high,heavy,heavy,heavy,heavy,old_age
I,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,medium,heavy,medium,heavy,heavy,young
F,medium,small,small,medium,medium,medium,medium,medium_age
I,medium,medium,small,light,light,light,medium,medium_age
M,small,small,small,light,light,light,light,young
F,medium,medium,medium,medium,medium,medium,medium,old_age
I,small,small,small,light,light,light,light,medium_age
M,small,small,small,light,light,light,light,medium_age
M,small,small,medium,light,light,light,light,old_age
M,small,small,small,light,light,light,light,old_age
F,small,small,medium,light,light,light,light,old_age
F,small,small,small,light,light,light,light,medium_age
M,small,small,small,light,light,light,light,old_age
I,medium,medium,high,medium,light,medium,medium,old_age
F,small,small,medium,light,light,light,light,old_age
F,small,small,small,light,light,light,light,medium_age
M,small,small,small,light,light,light,light,young
I,medium,medium,high,medium,medium,medium,medium,old_age
I,medium,medium,medium,medium,medium,medium,medium,old_age
M,small,small,small,light,light,light,light,young
F,medium,medium,medium,medium,medium,medium,medium,medium_age
M,small,small,small,light,light,light,light,medium_age
I,medium,medium,medium,light,light,light,medium,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,medium,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
I,large,large,high,heavy,heavy,heavy,heavy,old_age
F,small,medium,medium,medium,light,light,medium,old_age
M,medium,medium,high,medium,medium,medium,heavy,old_age
I,small,small,small,light,light,light,light,medium_age
F,medium,medium,high,medium,medium,medium,medium,old_age
F,small,small,small,light,light,light,light,medium_age
M,small,small,medium,light,light,medium,light,old_age
M,medium,medium,high,medium,medium,medium,medium,medium_age
M,small,small,medium,light,light,light,light,medium_age
F,small,small,medium,light,light,light,light,old_age
M,medium,small,medium,light,light,medium,light,medium_age
M,medium,medium,medium,medium,light,medium,medium,old_age
F,medium,medium,high,medium,medium,medium,medium,old_age
I,small,small,small,light,light,light,light,young
F,small,small,small,light,light,light,light,young
F,small,small,small,light,light,light,light,medium_age
F,small,small,medium,light,light,light,light,medium_age
M,small,small,small,light,light,light,light,medium_age
M,small,small,small,light,light,light,light,medium_age
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
F,medium,large,high,heavy,medium,heavy,heavy,old_age
M,small,small,medium,medium,light,medium,medium,old_age
F,medium,medium,medium,medium,medium,light,medium,old_age
M,small,small,small,light,light,light,light,young
M,medium,medium,medium,medium,medium,medium,heavy,old_age
F,medium,medium,medium,medium,medium,medium,medium,old_age
M,medium,medium,medium,medium,medium,medium,medium,old_age
M,small,small,small,light,light,light,light,medium_age
M,medium,medium,medium,medium,medium,medium,medium,old_age
F,small,small,small,light,light,light,light,young
M,medium,medium,medium,medium,medium,heavy,medium,old_age
M,large,large,high,heavy,heavy,heavy,medium,old_age
M,medium,medium,high,heavy,medium,medium,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
M,large,large,medium,heavy,heavy,heavy,heavy,old_age
F,medium,medium,high,heavy,medium,heavy,medium,old_age
M,large,large,medium,heavy,heavy,heavy,heavy,old_age
M,medium,medium,medium,medium,medium,medium,heavy,old_age
F,small,small,high,light,light,light,light,young
F,medium,medium,medium,medium,light,medium,medium,old_age
F,medium,medium,medium,medium,light,medium,medium,old_age
M,small,small,small,light,light,light,light,young
M,medium,medium,high,medium,medium,medium,medium,old_age
F,medium,medium,high,medium,medium,heavy,medium,old_age
M,small,small,medium,medium,light,light,medium,old_age
I,small,small,small,light,light,light,light,young
F,medium,medium,medium,medium,light,medium,medium,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
M,medium,medium,medium,medium,medium,medium,medium,old_age
M,medium,medium,medium,medium,medium,light,medium,old_age
M,small,small,small,light,light,light,light,young
F,medium,medium,high,medium,light,medium,heavy,medium_age
F,small,medium,medium,medium,light,light,medium,old_age
I,small,small,small,light,light,light,light,young
M,small,small,medium,light,light,light,light,medium_age
M,small,small,high,medium,light,medium,medium,old_age
F,medium,medium,medium,medium,light,medium,medium,old_age
M,medium,medium,medium,medium,medium,medium,medium,old_age
M,medium,medium,medium,medium,light,medium,medium,old_age
M,medium,medium,medium,medium,medium,medium,heavy,old_age
F,small,medium,medium,medium,light,medium,medium,old_age
F,small,small,small,light,light,light,light,medium_age
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
M,small,small,small,light,light,light,light,young
F,small,small,medium,medium,medium,medium,medium,young
I,small,small,small,light,medium,light,light,young
F,small,small,small,medium,medium,medium,light,young
I,small,small,small,light,medium,light,light,medium_age
M,small,small,medium,medium,medium,light,light,young
M,medium,medium,medium,medium,medium,medium,medium,young
I,medium,medium,high,medium,medium,medium,medium,young
M,medium,medium,high,medium,heavy,medium,medium,medium_age
M,medium,medium,small,medium,medium,medium,medium,medium_age
M,medium,medium,medium,medium,medium,medium,medium,old_age
F,medium,medium,medium,medium,heavy,heavy,medium,medium_age
M,medium,medium,high,heavy,heavy,heavy,heavy,old_age
M,medium,medium,high,heavy,heavy,medium,medium,medium_age
M,medium,large,high,heavy,heavy,heavy,heavy,medium_age
M,large,large,high,heavy,heavy,medium,heavy,medium_age
F,large,large,medium,heavy,heavy,medium,heavy,medium_age
F,large,large,medium,heavy,heavy,heavy,heavy,young
F,large,large,high,heavy,heavy,medium,medium,medium_age
M,large,large,high,heavy,heavy,heavy,heavy,medium_age
F,large,large,medium,heavy,heavy,heavy,heavy,medium_age
M,large,large,high,heavy,heavy,heavy,heavy,medium_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
I,large,large,high,heavy,heavy,heavy,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,medium_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,medium_age
F,large,large,high,heavy,heavy,heavy,heavy,medium_age
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,medium,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,medium,light,light,light,light,young
I,small,small,small,light,light,light,light,young
F,small,small,small,light,light,light,light,young
F,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
M,small,small,small,light,light,light,light,medium_age
I,small,medium,small,medium,medium,light,light,young
I,small,small,small,light,light,light,light,young
M,small,small,small,light,medium,light,light,young
M,medium,small,medium,medium,medium,medium,light,young
I,medium,medium,small,light,light,light,light,young
I,medium,medium,small,medium,medium,medium,medium,young
M,medium,medium,small,medium,medium,medium,medium,medium_age
M,medium,medium,medium,medium,medium,medium,medium,young
M,medium,medium,medium,medium,medium,medium,medium,young
F,medium,medium,high,medium,medium,medium,light,young
M,medium,medium,medium,medium,medium,medium,medium,young
F,medium,medium,medium,medium,medium,heavy,medium,young
M,medium,medium,medium,medium,medium,medium,medium,medium_age
F,medium,medium,medium,medium,heavy,medium,medium,young
F,medium,medium,medium,medium,medium,heavy,medium,young
F,medium,medium,medium,medium,heavy,medium,medium,medium_age
F,medium,medium,medium,medium,medium,medium,medium,young
M,medium,medium,medium,medium,medium,medium,medium,young
F,medium,medium,medium,medium,medium,medium,medium,young
F,medium,medium,high,medium,medium,medium,medium,young
M,medium,large,medium,heavy,heavy,heavy,medium,young
F,large,large,medium,heavy,heavy,heavy,heavy,medium_age
F,large,large,medium,heavy,heavy,medium,medium,medium_age
F,large,large,medium,medium,medium,heavy,medium,old_age
F,large,medium,medium,medium,medium,heavy,medium,young
F,large,medium,medium,heavy,heavy,heavy,medium,young
M,large,medium,medium,heavy,heavy,heavy,medium,medium_age
M,large,large,medium,heavy,heavy,heavy,medium,young
F,large,large,high,heavy,heavy,heavy,heavy,medium_age
F,large,large,high,heavy,heavy,heavy,heavy,medium_age
M,large,large,medium,heavy,heavy,heavy,medium,young
F,large,large,high,heavy,heavy,heavy,heavy,medium_age
F,large,large,high,heavy,heavy,heavy,heavy,medium_age
F,large,large,high,heavy,heavy,heavy,heavy,medium_age
M,large,large,high,heavy,heavy,heavy,heavy,medium_age
F,large,large,high,heavy,heavy,heavy,heavy,medium_age
F,large,large,high,heavy,heavy,medium,heavy,young
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,medium,heavy,heavy,heavy,medium,medium_age
M,large,large,high,heavy,heavy,heavy,heavy,young
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,medium_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,medium_age
M,large,large,high,heavy,heavy,heavy,heavy,medium_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,young
F,large,large,medium,heavy,heavy,heavy,heavy,medium_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,medium_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,medium_age
I,small,small,small,light,light,light,light,young
I,small,small,small,light,heavy,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,medium,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,medium,small,medium,light,medium,light,light,young
I,medium,small,medium,light,medium,light,light,young
M,medium,medium,small,light,medium,light,light,young
I,medium,medium,small,light,light,medium,light,young
I,medium,medium,medium,medium,medium,medium,light,young
M,medium,medium,small,medium,medium,medium,light,medium_age
M,medium,medium,medium,medium,medium,medium,medium,young
I,medium,medium,medium,light,medium,light,medium,young
I,medium,medium,medium,medium,medium,light,medium,young
I,medium,medium,medium,medium,medium,light,medium,medium_age
I,medium,medium,medium,medium,medium,medium,medium,medium_age
F,medium,medium,medium,medium,medium,medium,medium,medium_age
M,medium,medium,medium,medium,medium,medium,medium,young
M,medium,medium,small,medium,medium,medium,medium,young
F,medium,medium,medium,medium,medium,medium,medium,medium_age
I,medium,medium,medium,medium,medium,medium,medium,young
F,medium,medium,medium,medium,medium,medium,medium,young
I,medium,medium,medium,medium,medium,medium,medium,young
M,medium,medium,medium,medium,medium,medium,medium,medium_age
F,medium,medium,high,medium,medium,medium,medium,medium_age
M,medium,medium,medium,medium,heavy,medium,medium,medium_age
F,medium,medium,high,medium,medium,medium,medium,medium_age
F,medium,large,medium,medium,medium,medium,medium,young
M,medium,medium,medium,medium,medium,medium,medium,young
F,medium,medium,medium,medium,heavy,medium,medium,young
F,medium,medium,medium,medium,medium,medium,medium,young
M,medium,large,medium,medium,medium,medium,medium,young
M,medium,medium,medium,medium,heavy,medium,medium,medium_age
F,medium,medium,high,medium,medium,heavy,medium,young
F,large,large,medium,heavy,heavy,medium,medium,young
M,large,large,high,heavy,heavy,heavy,heavy,medium_age
M,large,medium,medium,medium,medium,heavy,medium,medium_age
M,large,large,high,heavy,heavy,heavy,heavy,medium_age
F,large,large,medium,heavy,heavy,heavy,medium,medium_age
F,large,large,high,heavy,heavy,heavy,medium,medium_age
M,large,medium,medium,heavy,heavy,medium,medium,young
F,large,large,medium,heavy,heavy,medium,medium,medium_age
M,large,large,high,heavy,heavy,heavy,medium,medium_age
M,large,large,medium,heavy,heavy,heavy,heavy,medium_age
M,large,large,medium,heavy,heavy,heavy,heavy,medium_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,medium,heavy,heavy,heavy,heavy,medium_age
M,large,large,medium,heavy,heavy,heavy,heavy,medium_age
M,large,large,medium,heavy,heavy,heavy,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,medium_age
M,large,large,medium,medium,heavy,medium,medium,young
M,large,large,high,heavy,heavy,heavy,heavy,medium_age
M,large,large,medium,heavy,heavy,heavy,medium,medium_age
F,large,large,high,heavy,heavy,heavy,heavy,medium_age
M,large,large,medium,heavy,heavy,heavy,heavy,medium_age
M,large,large,high,heavy,heavy,heavy,heavy,medium_age
F,large,large,high,heavy,heavy,heavy,heavy,medium_age
M,large,large,medium,heavy,heavy,heavy,heavy,medium_age
F,large,large,medium,heavy,heavy,heavy,heavy,medium_age
M,large,large,high,heavy,heavy,heavy,heavy,medium_age
F,large,large,high,heavy,heavy,heavy,heavy,medium_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,medium_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,medium_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,medium,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,medium,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,medium,medium,medium,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,medium_age
M,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,medium,light,light,young
I,small,small,small,light,medium,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,medium,light,light,young
M,small,small,small,medium,medium,medium,medium,old_age
I,medium,medium,medium,light,light,light,light,young
I,medium,small,medium,light,light,light,medium,young
I,medium,small,medium,medium,medium,medium,light,medium_age
I,medium,medium,medium,medium,medium,light,medium,medium_age
I,medium,medium,medium,light,medium,light,medium,medium_age
I,medium,medium,medium,medium,medium,medium,medium,young
F,medium,medium,medium,light,light,medium,light,medium_age
M,medium,medium,medium,medium,medium,medium,medium,young
I,medium,medium,small,light,medium,light,light,young
I,medium,medium,medium,medium,light,medium,medium,young
